"Cell.line"	"Timepoint"	"Plate"	"Well"	"Chemical.Number"	"Chemical.Concentration"	"Solvent"	"baseline"	"height"	"amplitude"	"notch.amp"	"notch.frac"	"n.peaks"	"n.peaks.expected"	"BPM"	"peak.max.avg"	"peak.max.sd"	"peak.max.cv"	"peak.amp.avg"	"peak.amp.sd"	"peak.amp.cv"	"peak.spacing.avg"	"peak.spacing.sd"	"peak.spacing.cv"	"peak.freq.avg"	"peak.freq.sd"	"peak.freq.cv"	"peak.width.avg"	"peak.width.sd"	"peak.width.cv"	"rise.times.avg"	"rise.times.sd"	"rise.times.cv"	"decay.times.avg"	"decay.times.sd"	"decay.times.cv"	"decay.rise.ratio.avg"	"decay.rise.ratio.sd"	"decay.rise.ratio.cv"
1368	"90min"	1	"I14"	35	1	"DMSO"	779.671232876712	1749.32876712329	969.657534246575	0	0	38	38.8705468626521	25.3685674547983	1759.71052631579	11.8090846722592	0.00671081095194855	980.039293439077	11.8090846722592	0.0120496032672523	2.31418918918919	0.0698561370237425	0.030186009575223	0.432495653548285	0.012904233536255	0.0298366779651679	1.19407894736842	0.0629870778591958	0.0527495087305662	0.381578947368421	0.0498932003052506	0.130754593903415	0.8125	0.0696880112997847	0.0857698600612735	2.17982456140351	0.459111262737722	0.210618446487325
1368	"90min"	1	"J14"	35	0.1	"DMSO"	816.960861056751	1811.13502935421	994.174168297456	0	0	41	42.0885212418301	27.3713490959666	1828.07317073171	17.6569961260437	0.00965880163263721	1011.11230967496	17.6569961260437	0.0174629425011351	2.1375	0.0681721049802329	0.0318933824468926	0.468300653594771	0.014951947657319	0.031928094788134	1.11280487804878	0.046811440648732	0.0420661713226961	0.390243902439024	0.049961875709287	0.128027306505048	0.722560975609756	0.0523822721827184	0.0724952965229182	1.88821138211382	0.316013446936972	0.167361265762099
1392	"90min"	1	"G14"	35	100	"DMSO"	816.471624266145	1160.91780821918	344.446183953033	0	0	47	48.1773799569995	31.3769123783032	1185.1914893617	16.0212335977742	0.0135178439446968	368.719865095557	16.0212335977742	0.0434509640364024	1.8695652173913	0.0872278375988647	0.0466567503435788	0.536048733874821	0.0255840492718162	0.0477270957938511	1.23670212765957	0.0833815001099887	0.0674224603039909	0.36436170212766	0.0438452939975937	0.120334529511644	0.872340425531915	0.0759422768766271	0.087055780809792	2.44148936170213	0.467841073241654	0.191621180325558
1392	"90min"	1	"H14"	35	10	"DMSO"	732.86301369863	1441.20939334638	708.34637964775	958.009784735812	0.317848410757946	20	20.6742098027911	13.3518776077886	1453.95	10.1123946875006	0.00695511859933323	721.08698630137	10.1123946875006	0.01402382081442	4.36184210526316	0.256494588021288	0.058804189108953	0.230032932437175	0.013876443781237	0.0603237268430112	2.8	0.223606797749979	0.0798595706249925	0.4625	0.0587702932477034	0.127070904319359	2.3375	0.226166566471425	0.0967557503621071	5.15416666666667	0.97192873598647	0.188571460498588
1392	"90min"	1	"I14"	35	1	"DMSO"	777.430528375734	1623.27005870841	845.839530332681	0	0	29	29.298841412211	19.3602225312935	1639.79310344828	12.6952727713475	0.00774199668522262	862.362575072542	12.6952727713475	0.0147215024611655	3.07142857142857	0.109864033332596	0.0357696852710778	0.325995453821541	0.0120249215468031	0.0368867768118811	1.47844827586207	0.0480532340274056	0.0325024789922977	0.487068965517241	0.0511565741023734	0.105029426475669	0.991379310344828	0.0571947885944562	0.057692134582234	2.0683908045977	0.343342141229664	0.165994811264133
1392	"90min"	1	"J14"	35	0.1	"DMSO"	780.917808219178	1620.09589041096	839.178082191781	0	0	28	28.9402522124503	18.692628650904	1639.75	10.0760993334612	0.00614489973072799	858.832191780822	10.0760993334612	0.0117323260933758	3.11111111111111	0.135755247336842	0.0436356152154135	0.322005587899308	0.0137459871098941	0.0426886601551541	1.42410714285714	0.0708683386892301	0.0497633475435346	0.446428571428571	0.0792658109342785	0.177555416492784	0.977678571428571	0.0965466893658878	0.0987509516801774	2.27738095238095	0.537143302750387	0.235860101573615
1299	"90min"	1	"G14"	35	100	"DMSO"	912.05675146771	1044.75342465753	132.696673189824	0	0	84	84.9661646586345	56.0778859527121	1058.5	10.7943537226254	0.0101977833940722	146.44324853229	10.7943537226254	0.0737101493637333	1.06174698795181	0.0658362424048309	0.0620074680238408	0.945381526104418	0.0577924939377671	0.0611313975807307	0.619047619047619	0.0640758031434615	0.103507066616361	0.194940476190476	0.0624282433747326	0.320242591968094	0.424107142857143	0.0672666010068555	0.158607564479322	2.51190476190476	1.12736014941237	0.44880688412625
1299	"90min"	1	"H14"	35	10	"DMSO"	815.616438356164	1641.23287671233	825.616438356164	0	0	40	40.3376421193759	26.7037552155772	1659.075	16.3336800067867	0.00984505221692007	843.458561643836	16.3336800067867	0.0193651244406762	2.23076923076923	0.0787362223665233	0.035295547957407	0.448819383803904	0.0158179583685087	0.0352434831010325	1.35	0.0580119351115321	0.0429718037863201	0.378125	0.0599645995994987	0.158584065056526	0.971875	0.0528627577207825	0.0543925481371396	2.65	0.542102060385905	0.204566815239964
1299	"90min"	1	"I14"	35	1	"DMSO"	845.634050880626	1802.52837573386	956.894324853229	0	0	40	40.2837359865224	26.7037552155772	1821.1	15.4102862749828	0.00846207581955016	975.465949119374	15.4102862749828	0.015797872072208	2.23397435897436	0.0820155592361298	0.0367128471760007	0.44821959373043	0.0164202369698789	0.0366343578004187	1.2	0.0620173672946042	0.0516811394121702	0.38125	0.0395284707521047	0.103681234759619	0.81875	0.0629789342069724	0.076920835672638	2.175	0.324564139026295	0.149224891506343
1299	"90min"	1	"J14"	35	0.1	"DMSO"	836.068493150685	1731.57534246575	895.506849315069	0	0	42	42.3514267495616	28.0389429763561	1756	17.9525118834894	0.0102235261295498	919.931506849315	17.9525118834894	0.0195150527510197	2.125	0.0790569415042095	0.0372032665902162	0.471225888729476	0.0175867328878878	0.0373212366054534	1.13095238095238	0.047437225467416	0.0419444940975046	0.383928571428571	0.042706252959161	0.111234891428512	0.74702380952381	0.0584876422616666	0.0782942143423107	1.97619047619048	0.303706615159049	0.153682865502169
1364	"90min"	1	"G14"	35	100	"DMSO"	920.506849315069	1102.15068493151	181.643835616438	0	0	79	80.2217592592593	52.739916550765	1118.6835443038	10.0250254859929	0.0089614489611822	198.176694988729	10.0250254859929	0.0505862986894753	1.12339743589744	0.058711785525342	0.052262702093885	0.892592592592593	0.0474343057409347	0.0531421682574787	0.700949367088608	0.0646046951405985	0.0921674206069035	0.229430379746835	0.0466436802942521	0.203302109972189	0.471518987341772	0.0564344095705516	0.119686398820767	2.21518987341772	0.838510371416514	0.378527539096598
1364	"90min"	1	"H14"	35	10	"DMSO"	836.906066536204	1766.51272015656	929.606653620352	0	0	37	37.1646848602989	24.7009735744089	1785.35135135135	14.2677106631571	0.00799154219832289	948.445284815148	14.2677106631571	0.0150432617374843	2.42013888888889	0.0678284191504154	0.0280266638670296	0.413515269655621	0.0115967204320176	0.0280442374998037	1.71621621621622	0.0562781461113435	0.0327919906475545	0.469594594594595	0.054369854525105	0.115780409636195	1.24662162162162	0.0550133071534875	0.0441299157653992	2.7027027027027	0.440319635471076	0.162918265124298
1364	"90min"	1	"I14"	35	1	"DMSO"	874.812133072407	2008.58904109589	1133.77690802348	0	0	40	40.4644800790312	26.7037552155772	2025.65	20.1641341914873	0.00995440189148536	1150.83786692759	20.1641341914873	0.0175212640902404	2.22435897435897	0.0868845232355438	0.0390604773047401	0.45023065456502	0.0174312950419251	0.0387163665227682	1.353125	0.0558120414817356	0.0412467743052088	0.446875	0.0625800769066404	0.140039332937937	0.90625	0.0548161262066893	0.0604867599522089	2.07916666666667	0.392663307344184	0.188856099724658
1364	"90min"	1	"J14"	35	0.1	"DMSO"	884.211350293542	2112.32093933464	1228.1095890411	0	0	41	41.3016898864809	27.3713490959666	2134.68292682927	19.5875458192065	0.00917585725403287	1250.47157653573	19.5875458192065	0.0156641271874978	2.178125	0.0686844092711226	0.0315337316596259	0.459545923632611	0.014168344240436	0.0308311825038906	1.29573170731707	0.0609565518997933	0.0470441153485464	0.478658536585366	0.0476185939293138	0.0994834319032797	0.817073170731707	0.0690197037967791	0.0844718762885953	1.73577235772358	0.321078066303581	0.184977059275599
1402	"90min"	1	"G14"	35	100	"DMSO"	905.724070450098	1215.4168297456	309.692759295499	0	0	70	71.1947884643537	46.7315716272601	1227.64285714286	10.0492060603345	0.00818577324982157	321.918786692759	10.0492060603345	0.0312165877722617	1.26630434782609	0.0708179738625364	0.0559249235652648	0.792153418240375	0.0446701128572889	0.0563907342046386	0.9	0.0624093545570845	0.0693437272856494	0.25	0.0475866867266801	0.19034674690672	0.65	0.0586688076025689	0.0902597040039522	2.74285714285714	0.87443826656522	0.31880561801857
1402	"90min"	1	"H14"	35	10	"DMSO"	797.13698630137	1607.93346379648	810.796477495108	1092.51272015656	0.364303178484108	19	19.7940518287789	12.6842837273992	1622.42105263158	12.6504975285282	0.00779729621235437	825.284066330209	12.6504975285282	0.015328658391263	4.57638888888889	0.422568496207335	0.0923366668495541	0.220239797816733	0.0198502283779683	0.0901300699271715	2.88815789473684	0.308712426981972	0.106889040777357	0.427631578947368	0.0634071591877235	0.1482752030236	2.46052631578947	0.336063381657728	0.136581909122927	5.92543859649123	1.42153160772488	0.23990318768414
1402	"90min"	1	"I14"	35	1	"DMSO"	840.070450097847	1899.60078277886	1059.53033268102	0	0	30	31.1506235518604	20.0278164116829	1922.23333333333	14.5144003008031	0.00755080044087769	1082.16288323549	14.5144003008031	0.0134123989333357	2.88793103448276	0.0905392302637303	0.0313508976435603	0.346599427558948	0.0109324421453973	0.0315420086593708	1.45	0.062284109890305	0.0429545585450379	0.416666666666667	0.059932912685673	0.143838990445615	1.03333333333333	0.0651038074702735	0.0630036846486518	2.53611111111111	0.428668153349466	0.169025777881498
1402	"90min"	1	"J14"	35	0.1	"DMSO"	826.203522504892	1879.74559686888	1053.54207436399	0	0	32	32.9138409743599	21.3630041724618	1894.03125	14.4746371618684	0.00764223777293453	1067.82772749511	14.4746371618684	0.0135552175591308	2.73387096774194	0.0954263212939644	0.0349052030691787	0.366217980243226	0.0129283302786361	0.0353022816357889	1.3203125	0.0705501137375915	0.0534344056710752	0.40625	0.0549926681330075	0.135366567712018	0.9140625	0.0740361452700748	0.0809968085005946	2.29427083333333	0.375662124534848	0.16373922340679
1290	"90min"	1	"G14"	35	100	"DMSO"	953.743639921722	953.743639921722	0	0	0	0	0	0	953.743639921722	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA
