"","Cell.line","baseline","treatment"
"501","11237",NA,NA
"502","11237",NA,NA
"503","11237",NA,NA
"504","11237",NA,NA
"505","11237",NA,NA
"506","11237",NA,NA
"507","11237",NA,NA
"508","11237",NA,NA
"509","11237",NA,NA
"510","11237",NA,NA
"511","11237",NA,NA
"512","11237",NA,NA
"513","11237",NA,NA
"514","11237",NA,NA
"515","11237",NA,NA
"516","11237",NA,NA
"517","11237",NA,NA
"518","11237",NA,NA
"519","11237",NA,NA
"520","11237",NA,NA
"521","11237",NA,NA
"522","11237",NA,NA
"523","11237",NA,NA
"524","11237",NA,NA
"525","11237",NA,NA
"526","11237",NA,NA
"527","11237",NA,NA
"528","11237",NA,NA
"529","11237",NA,NA
"530","11237",NA,NA
"531","11237",NA,NA
"532","11237",NA,NA
"533","11237",NA,NA
"534","11237",NA,NA
"535","11237",NA,NA
"536","11237",NA,NA
"537","11237",NA,NA
"538","11237",NA,NA
"539","11237",NA,NA
"540","11237",NA,NA
"541","11237",NA,NA
"542","11237",NA,NA
"543","11237",NA,NA
"544","11237",NA,NA
"545","11237",NA,NA
"546","11237",NA,NA
"547","11237",NA,NA
"548","11237",NA,NA
"549","11237",NA,NA
"550","11237",NA,NA
"551","11237",NA,NA
"552","11237",NA,NA
"553","11237",NA,NA
"554","11237",NA,NA
"555","11237",NA,NA
"556","11237",NA,NA
"557","11237",NA,NA
"558","11237",NA,NA
"559","11237",NA,NA
"560","11237",NA,NA
"561","11237",NA,NA
"562","11237",NA,NA
"563","11237",NA,NA
"564","11237",NA,NA
"565","11237",1.938565756,1.934388113
"566","11237",1.746227619,6.501302775
"567","11237",2.123899106,2.173684553
"568","11237",1.688941243,2.193059234
"569","11237",1.819855957,2.108107712
"570","11237",2.083552016,2.277593236
"571","11237",3.379243118,2.151750751
"572","11237",2.339930314,2.207351769
"573","11237",2.075999344,2.265449527
"574","11237",2.215065623,2.19445892
"575","11237",1.895143297,2.009653851
"576","11237",1.881451252,2.075573196
"577","11237",2.166658956,1.942489312
"578","11237",2.007722894,2.340337283
"579","11237",2.132167317,2.572623935
"580","11237",2.074095608,2.55034054
"581","11237",2.231121266,2.653471893
"582","11237",1.867791829,2.270293858
"583","11237",NA,NA
"584","11237",NA,NA
"585","11237",NA,NA
"586","11237",NA,NA
"587","11237",NA,NA
"588","11237",NA,NA
"589","11237",NA,NA
"590","11237",NA,NA
"591","11237",NA,NA
"592","11237",NA,NA
"593","11237",NA,NA
"594","11237",NA,NA
"595","11237",NA,NA
"596","11237",NA,NA
"597","11237",NA,NA
"598","11237",NA,NA
"599","11237",NA,NA
"600","11237",NA,NA
"601","11237",NA,NA
"602","11237",NA,NA
"603","11237",NA,NA
"604","11237",NA,NA
"605","11237",NA,NA
"606","11237",NA,NA
"607","11237",NA,NA
"608","11237",NA,NA
"609","11237",NA,NA
"610","11237",NA,NA
"611","11237",NA,NA
"612","11237",NA,NA
"613","11237",NA,NA
"614","11237",NA,NA
"615","11237",NA,NA
"616","11237",NA,NA
"617","11237",NA,NA
"618","11237",NA,NA
"619","11237",NA,NA
"620","11237",NA,NA
"621","11237",NA,NA
"622","11237",NA,NA
"623","11237",NA,NA
"624","11237",NA,NA
"625","11237",NA,NA
"626","11237",NA,NA
"627","11237",NA,NA
"628","11237",NA,NA
"629","11237",NA,NA
"630","11237",NA,NA
"631","11237",NA,NA
"632","11237",NA,NA
"633","11237",NA,NA
"634","11237",NA,NA
"635","11237",NA,NA
"636","11237",NA,NA
"637","11237",NA,NA
"638","11237",NA,NA
"639","11237",NA,NA
"640","11237",NA,NA
"641","11237",NA,NA
"642","11237",NA,NA
"643","11237",NA,NA
"644","11237",NA,NA
